QuestionId,RelatedQuestionId,LinkTypeId,CreationDate
4185077,667045,1,2010-11-15T14:08:07.807
4221486,556203,1,2010-11-19T02:07:49.903
4332951,4295799,1,2010-12-02T13:18:29.680
4396033,3999415,1,2010-12-09T08:53:57.380
4590903,784167,1,2011-01-04T05:36:28.037
4493996,4489791,1,2011-01-05T07:45:01.857
4625523,474074,1,2011-01-07T13:27:57.527
4708825,512502,1,2011-01-16T23:32:54.030
4730523,229179,1,2011-01-19T00:21:24.367
4758255,452902,1,2011-01-21T11:58:30.470
4760109,4163312,1,2011-01-21T14:46:18.793
4764431,1608632,1,2011-01-21T23:45:47.300
4790024,4445992,1,2011-01-25T06:43:05.473
5046235,245241,1,2011-02-18T20:42:13.633
5132152,2152841,1,2011-02-27T10:09:48.940
5183212,5128861,1,2011-03-03T16:18:14.760
5219030,5219175,1,2011-03-07T12:17:17.690
5265000,3323618,1,2011-03-10T19:56:43.053
5342358,5342865,1,2011-03-17T17:31:12.237
5477551,640488,1,2011-03-29T19:20:36.900
5481062,5382968,1,2011-03-31T14:37:16.120
1789741,5549276,1,2011-04-05T09:58:43.933
5553001,2924819,1,2011-04-05T13:54:38.400
5629163,61747,1,2011-04-12T00:45:48.897
5643496,2749781,1,2011-04-13T01:33:39.873
5655362,5616233,1,2011-04-14T02:02:34.593
5689003,5288396,1,2011-04-16T19:39:11.107
2514940,1305544,1,2011-04-27T00:33:46.280
5853989,804951,1,2011-05-02T06:32:02.047
3885345,5914675,1,2011-05-06T18:29:05.387
6124706,3081042,1,2011-05-25T13:07:21.547
6187525,910727,1,2011-05-31T14:04:09.527
6257800,6234687,1,2011-06-06T21:05:13.683
6257800,3332045,1,2011-06-06T21:05:13.683
4449453,5726662,1,2011-06-09T10:03:41.647
6329923,315618,1,2011-06-13T11:42:54.633
5689003,1833447,1,2011-06-13T17:52:00.790
3500724,1960957,1,2011-06-20T05:18:16.760
5847580,2868059,1,2011-06-20T11:56:55.013
6461075,6030530,1,2011-06-23T22:01:03.957
6461075,307828,1,2011-06-23T22:07:43.420
6471055,674628,1,2011-06-24T16:54:32.703
6151093,3422545,1,2011-06-28T07:54:49.140
6581738,6303615,1,2011-07-05T12:12:30.350
6581738,4504091,1,2011-07-05T12:12:30.350
6581738,2951660,1,2011-07-05T12:12:30.350
6584121,6200612,1,2011-07-05T14:14:50.580
6728634,6728361,1,2011-07-18T19:24:21.860
6728634,201323,1,2011-07-18T19:44:36.587
6742904,5281974,1,2011-07-19T07:49:27.070
6742904,3635071,1,2011-07-19T08:41:15.767
6411025,3385311,1,2011-07-19T18:43:35.330
6775827,6777030,1,2011-07-22T21:23:37.890
6836973,4640287,1,2011-07-26T21:58:08.870
6836973,3433382,1,2011-07-26T22:19:43.380
6766482,5015471,1,2011-07-28T07:54:20.430
6880673,5466163,1,2011-07-31T09:38:25.763
6880673,6890133,1,2011-07-31T14:54:15.690
6988051,371,1,2011-08-08T20:33:30.637
6973905,6611685,1,2011-08-09T08:03:39.127
7026967,334571,1,2011-08-11T14:24:11.430
7063394,5602392,1,2011-08-15T10:57:59.210
7079486,141560,1,2011-08-16T14:21:28.153
5223897,5540049,1,2011-08-17T22:05:27.797
7105095,6855001,1,2011-08-18T09:27:12.377
7165256,605215,1,2011-08-23T18:01:07.890
4212084,167531,1,2011-08-25T12:58:29.953
5183212,4212988,1,2011-08-25T14:39:39.737
7198197,2672380,1,2011-08-25T23:08:19.807
7256803,5333490,1,2011-08-31T12:35:48.520
7405819,3204934,1,2011-09-13T17:21:14.497
7444135,1143194,1,2011-09-16T11:43:31.720
7526113,7496223,1,2011-09-23T08:16:06.753
7533700,2736638,1,2011-09-23T19:54:41.693
7533700,808914,1,2011-09-23T19:54:41.693
7533700,2886592,1,2011-09-23T19:54:41.697
3776088,2395661,1,2011-09-27T13:38:10.690
7629117,7085454,1,2011-10-02T20:50:38.897
7653904,1192543,1,2011-10-04T20:54:43.157
7750277,5702299,1,2011-10-13T06:44:29.870
7750277,1694751,1,2011-10-13T06:44:29.870
7815963,983855,1,2011-10-19T06:47:23.387
7819534,561046,1,2011-10-19T10:05:28.547
7852026,1999382,1,2011-10-21T15:54:12.447
7914400,502250,1,2011-10-27T14:45:03.760
7941541,60174,1,2011-10-29T21:12:33.973
7942277,3084892,1,2011-10-29T23:22:20.523
7952251,7848037,1,2011-10-31T14:15:40.143
7964992,7965645,1,2011-11-01T11:19:06.973
7681540,7742617,1,2011-11-02T20:33:51.787
7997623,3487456,1,2011-11-03T15:36:14.560
8070306,982487,1,2011-11-09T19:22:43.353
8067861,8056984,1,2011-11-09T20:19:10.877
8104958,514118,1,2011-11-12T14:26:57.363
8203296,4801347,1,2011-11-20T18:34:15.983
3452272,1374468,1,2011-11-30T15:06:00.167
8360574,477816,1,2011-12-02T18:06:31.340
8375578,151005,1,2011-12-04T13:51:33.470
8425087,89488,1,2011-12-08T04:37:33.450
8425087,6884041,1,2011-12-08T04:37:33.450
8428420,1888933,1,2011-12-08T09:23:55.857
2987664,4455518,1,2011-12-09T22:03:14.330
8672866,2035670,1,2011-12-29T22:17:28.723
8734438,1699046,1,2012-01-05T01:47:54.703
8734438,8733650,1,2012-01-05T17:07:25.413
8844382,2005606,1,2012-01-13T00:38:20.437
8817097,3726632,1,2012-01-16T18:12:26.927
8910990,8796377,1,2012-01-18T13:33:53.013
8956086,8959100,1,2012-01-22T05:05:50.950
9089537,2601411,1,2012-02-01T01:33:32.827
9106026,5046748,1,2012-02-02T02:03:26.957
9106026,2785843,1,2012-02-02T02:20:57.240
9108401,1050991,1,2012-02-02T07:10:35.683
9127941,5512300,1,2012-02-03T11:51:19.097
9348338,2263996,1,2012-02-19T14:20:11.220
9348338,3299655,1,2012-02-19T14:20:11.220
9363286,1424608,1,2012-02-20T18:28:17.370
9376033,599405,1,2012-02-21T10:40:47.907
9376183,1388602,1,2012-02-21T10:51:37.093
9434423,6980401,1,2012-02-24T21:08:50.117
9443875,1451009,1,2012-02-25T12:22:24.183
9451265,3950025,1,2012-02-26T07:31:56.080
2399086,1337424,1,2012-02-27T11:12:10.457
9531171,5763304,1,2012-03-05T08:58:24.947
9572172,661561,1,2012-03-05T19:20:53.567
9600939,4002218,1,2012-03-07T12:29:33.273
9600939,9592805,1,2012-03-07T14:38:42.460
9721051,2786899,1,2012-03-15T13:52:09.793
9846513,1068834,1,2012-03-24T03:33:43.177
9846513,201183,1,2012-03-24T03:49:51.263
9897600,90755,1,2012-03-27T21:08:18.543
9901353,7194127,1,2012-03-28T05:13:25.047
5735158,4204954,1,2012-04-02T08:14:13.420
10040069,761194,1,2012-04-06T06:44:23.327
10040069,747517,1,2012-04-06T06:45:34.860
3556956,553463,1,2012-04-09T22:30:03.880
6797361,10048740,1,2012-04-13T14:11:32.277
4537449,4912695,1,2012-04-26T10:16:08.447
4537449,6716442,1,2012-04-26T10:16:08.450
10327545,2588181,1,2012-04-26T19:42:01.413
10349784,3611809,1,2012-04-27T12:29:02.010
10375373,735714,1,2012-05-01T13:50:55.950
10407652,10406428,1,2012-05-02T22:30:08.550
10447106,10435334,1,2012-05-04T12:31:48.207
10447106,2581157,1,2012-05-04T13:35:16.340
10445586,5079325,1,2012-05-04T14:15:43.813
10455163,6990663,1,2012-05-05T00:26:12.603
3839779,2472982,1,2012-05-09T18:53:58.257
10561974,94361,1,2012-05-12T07:58:49.910
10571664,8597081,1,2012-05-13T12:40:05.400
4036975,2046275,1,2012-05-13T16:44:23.220
4036975,3068497,1,2012-05-13T16:44:23.220
2178220,225432,1,2012-05-17T01:42:02.113
10553923,10615254,1,2012-05-18T09:41:39.450
10685016,2687926,1,2012-05-21T12:15:28.317
10768499,4052770,1,2012-05-26T18:36:12.920
10911452,1080787,1,2012-06-06T09:24:27.637
302664,251155,1,2012-06-07T13:39:41.417
10938247,9572466,1,2012-06-07T19:25:02.507
10995468,8969854,1,2012-06-13T07:39:52.547
11033204,1466000,1,2012-06-14T12:40:25.713
11056051,1027027,1,2012-06-15T18:36:06.733
11071934,8636222,1,2012-06-17T15:05:03.210
11094829,623172,1,2012-06-19T05:30:10.110
11101378,931660,1,2012-06-19T12:59:05.713
11154523,283752,1,2012-06-22T10:36:09.740
11166553,11114502,1,2012-06-23T03:31:45.853
7942277,6084360,1,2012-06-24T19:33:52.387
11178743,3488285,1,2012-06-24T19:35:45.747
11219735,4656667,1,2012-06-27T06:46:32.833
11219735,4535109,1,2012-06-28T23:02:18.483
11219735,2695646,1,2012-06-28T23:02:18.487
11219735,4552833,1,2012-06-28T23:02:18.490
11360758,1259369,1,2012-07-09T08:31:12.210
11399194,8979520,1,2012-07-09T16:39:05.207
11399194,9219005,1,2012-07-09T18:13:36.463
11403465,4679378,1,2012-07-09T21:32:19.277
11420126,442026,1,2012-07-10T19:03:53.237
11416529,11162301,1,2012-07-17T20:06:02.110
11416529,11078166,1,2012-07-19T12:20:29.183
11583948,5208679,1,2012-07-20T17:07:08.363
11583948,3253641,1,2012-07-20T17:07:08.363
11724433,10079066,1,2012-07-31T04:26:03.017
11360758,10955496,1,2012-08-02T23:42:12.397
11847063,4994458,1,2012-08-07T18:27:47.477
11859459,2428092,1,2012-08-08T07:28:54.940
11859459,11860183,1,2012-08-08T08:04:23.960
7470408,1536682,1,2012-08-10T17:30:59.473
6769345,9381947,1,2012-08-10T17:36:27.867
11903218,653918,1,2012-08-11T06:54:01.870
11920353,1317055,1,2012-08-12T07:06:31.633
11920353,2569977,1,2012-08-12T07:09:50.337
11929235,11929485,1,2012-08-13T07:24:29.263
12020754,3000480,1,2012-08-19T15:25:18.360
10398383,4712266,1,2012-08-19T16:41:27.400
12028226,7273215,1,2012-08-19T16:48:37.777
12137757,6658752,1,2012-08-27T07:35:04.250
12191931,1064089,1,2012-08-30T07:42:33.260
12235557,5611065,1,2012-09-02T22:22:36.057
12258166,3991673,1,2012-09-04T06:55:12.940
12235557,12259890,1,2012-09-04T14:20:06.980
6984877,12240999,1,2012-09-04T15:24:47.000
12271715,9347928,1,2012-09-04T22:22:54.500
12301236,8189921,1,2012-09-06T13:40:21.097
12308240,10851192,1,2012-09-06T20:54:03.850
12308240,9782424,1,2012-09-06T21:04:46.933
12308240,2062810,1,2012-09-06T21:07:07.620
12301236,12308643,1,2012-09-06T21:26:38.133
12382265,1408,1,2012-09-12T06:27:44.703
12465764,11904385,1,2012-09-17T19:19:03.093
12479227,3905473,1,2012-09-18T14:42:57.500
12486885,603201,1,2012-09-19T00:28:12.643
12513643,1096679,1,2012-09-20T13:34:10.743
12513643,4703418,1,2012-09-20T13:34:10.743
12513643,11008577,1,2012-09-20T13:34:10.743
12513643,2182668,1,2012-09-20T13:50:07.023
12513643,9953114,1,2012-09-20T13:50:07.023
12577556,4097104,1,2012-09-25T06:48:55.800
12604376,12286841,1,2012-09-26T15:10:39.637
12620736,2808324,1,2012-09-27T11:58:56.687
12621409,9943503,1,2012-09-27T12:40:32.827
12625435,12529200,1,2012-09-27T16:50:23.313
12630448,9433058,1,2012-09-27T22:43:29.667
12645641,12657369,1,2012-09-30T20:03:43.980
12750013,9252354,1,2012-10-05T17:47:20.893
9691553,4482261,1,2012-10-09T10:59:43.823
12800298,9638895,1,2012-10-09T13:39:31.800
12837023,7634255,1,2012-10-11T10:02:32.557
12814496,4183026,1,2012-10-15T19:13:32.713
12990929,4181934,1,2012-10-20T17:49:58.687
13000358,483981,1,2012-10-21T17:42:51.317
13166785,117429,1,2012-10-31T20:46:34.513
13166785,117844,1,2012-10-31T21:06:08.487
13183306,6838297,1,2012-11-01T18:27:07.430
6831306,3772334,1,2012-11-08T07:33:48.890
13287898,4797286,1,2012-11-08T11:13:51.767
13317963,10201106,1,2012-11-10T22:30:43.140
13328315,7109958,1,2012-11-11T03:27:38.687
13349426,13186889,1,2012-11-12T19:03:48.230
13400770,1880321,1,2012-11-15T15:46:17.023
13400770,2223007,1,2012-11-15T18:40:49.533
13414097,2974280,1,2012-11-16T10:01:32.040
13414097,2232211,1,2012-11-16T10:01:32.040
13501647,4924434,1,2012-11-21T21:08:55.790
12644715,7186204,1,2012-11-26T20:35:14.407
4844637,1050222,1,2012-11-27T08:28:47.953
13600413,2666805,1,2012-11-28T08:00:12.823
13600413,9789871,1,2012-11-28T12:33:46.850
13672285,4251284,1,2012-12-02T18:56:13.053
13692463,2098170,1,2012-12-03T22:03:14.393
13692463,1133897,1,2012-12-03T22:06:19.463
13705776,3286343,1,2012-12-04T15:07:21.330
13722353,2169444,1,2012-12-05T11:59:00.447
13785640,13680770,1,2012-12-09T07:55:47.340
13863871,815586,1,2012-12-13T16:15:11.937
13886987,2922210,1,2012-12-14T22:49:45.247
13896421,9495360,1,2012-12-15T21:40:30.763
13896421,11927167,1,2012-12-15T21:40:30.763
13959434,12272832,1,2012-12-20T23:55:36.253
14012899,14013227,1,2012-12-23T17:52:05.663
14075448,2125230,1,2012-12-28T21:56:41.763
13407090,1916568,1,2012-12-30T07:59:43.263
13407090,13017219,1,2013-01-01T21:13:21.780
14184966,60174,1,2013-01-06T18:01:56.747
14184966,4978481,1,2013-01-06T18:07:50.497
13910326,11739370,1,2013-01-07T12:09:13.597
14272578,332030,1,2013-01-11T06:08:18.663
14272578,6594395,1,2013-01-12T04:59:13.693
14481010,2571049,1,2013-01-23T14:58:46.583
14447949,14490563,1,2013-01-25T14:19:47.570
14635228,1994463,1,2013-02-01T06:58:10.210
14700456,3495890,1,2013-02-05T05:02:43.600
14704880,4386124,1,2013-02-05T16:04:28.380
9135604,9157642,1,2013-02-07T23:29:47.453
14797755,495021,1,2013-02-10T12:49:02.717
14797755,1106149,1,2013-02-10T14:10:49.897
14885420,14022934,1,2013-02-14T22:49:47.183
14885420,3862800,1,2013-02-15T07:52:01.437
3776088,2395661,3,2013-02-18T03:08:16.490
4185077,667045,3,2013-02-18T03:13:16.453
4221486,556203,3,2013-02-18T03:18:16.653
6507923,3520285,3,2013-02-18T03:23:16.637
7914400,502250,3,2013-02-18T03:23:16.637
7444135,1143194,3,2013-02-18T03:28:17.033
6329923,315618,3,2013-02-18T03:28:17.033
9443875,1451009,3,2013-02-18T03:33:24.747
9348338,2263996,3,2013-02-18T03:38:25.030
9348338,3299655,3,2013-02-18T03:38:25.030
12513643,1096679,3,2013-02-18T03:48:25.013
13166785,117844,3,2013-02-18T03:53:24.857
13896421,9495360,3,2013-02-18T03:58:25.057
12620736,2808324,3,2013-02-18T03:58:25.057
14447949,14490563,3,2013-02-18T04:03:30.310
12990929,4181934,3,2013-02-18T04:08:30.447
14885420,3862800,3,2013-02-18T04:08:30.447
14931858,9959926,1,2013-02-18T08:11:07.833
14995454,388242,1,2013-02-21T06:06:28.180
14953165,14763204,1,2013-02-21T08:53:57.973
14953165,14856968,1,2013-02-21T08:53:57.973
15004460,6441218,1,2013-02-21T14:16:13.327
15011860,2973202,1,2013-02-21T20:45:55.013
15078364,462537,1,2013-02-26T00:31:05.273
15078364,14618541,1,2013-02-26T00:31:05.273
14953165,12166731,1,2013-02-26T15:02:49.183
15098096,6179557,1,2013-02-27T07:05:26.347
15159295,11284303,1,2013-03-02T07:12:12.103
15177421,4906704,1,2013-03-02T18:07:47.200
15201713,1976809,1,2013-03-04T12:35:46.210
15201713,1976809,3,2013-03-04T13:03:40.730
15220890,194852,1,2013-03-05T11:40:10.080
15252213,548541,1,2013-03-07T15:28:25.463
15347486,8522965,1,2013-03-11T21:05:20.817
12080247,1830830,1,2013-03-12T16:03:21.127
15376341,14284141,1,2013-03-13T03:10:32.017
15376341,14284141,3,2013-03-13T03:13:27.767
15386292,606043,1,2013-03-13T14:29:09.797
15386292,84855,1,2013-03-13T15:30:44.963
15423721,10209941,1,2013-03-15T02:34:16.120
15423721,10209941,3,2013-03-16T13:17:28.260
2947049,748453,1,2013-03-18T15:15:35.543
15501696,12405230,1,2013-03-19T16:22:43.933
15536226,13542950,1,2013-03-20T22:58:03.607
15559936,5551028,1,2013-03-21T23:21:02.133
7091064,1062856,1,2013-03-25T04:05:19.107
15679398,4686500,1,2013-03-28T10:56:30.090
15754704,826782,1,2013-04-02T01:36:59.960
15754704,924916,1,2013-04-02T01:36:59.960
15754704,1637298,1,2013-04-02T01:36:59.960
15754704,1224433,1,2013-04-02T03:15:04.153
15837842,9822361,1,2013-04-05T16:02:43.000
15837842,8184438,1,2013-04-05T16:07:33.317
2497627,8105217,1,2013-04-09T23:11:40.373
15910755,10879181,1,2013-04-10T08:47:11.203
15938170,7922340,1,2013-04-10T23:22:58.240
15951649,5540670,1,2013-04-11T14:47:20.840
15995611,15498654,1,2013-04-14T03:57:34.387
15995611,15498654,3,2013-04-14T15:44:14.207
15011860,2973202,3,2013-04-15T18:26:32.843
16027840,6558921,3,2013-04-16T02:46:19.240
16028063,16006404,1,2013-04-16T03:06:23.587
16062877,13400684,1,2013-04-17T14:34:37.303
16062877,14049508,1,2013-04-17T14:38:45.290
16067974,3353634,1,2013-04-17T19:08:45.847
16102717,5254553,1,2013-04-19T16:43:54.433
2491730,6167266,1,2013-04-20T12:56:49.223
16160053,75175,1,2013-04-23T03:20:09.537
16176099,1625234,1,2013-04-23T18:03:52.880
13301520,4709390,1,2013-04-25T19:30:28.500
16300495,8926409,1,2013-04-30T13:01:12.427
16349424,3556157,1,2013-05-02T23:39:25.587
16410911,1757303,1,2013-05-07T04:14:39.793
16176099,1625234,3,2013-05-07T08:22:36.030
6917413,13636513,1,2013-05-10T18:08:33.723
16508954,3369794,1,2013-05-12T15:35:16.633
16508954,3369794,3,2013-05-13T03:35:41.790
16503594,12575311,1,2013-05-13T15:09:30.663
16568576,15565660,1,2013-05-15T15:10:06.523
16602544,9282632,1,2013-05-17T06:17:53.420
3915040,4175264,1,2013-05-20T16:44:11.723
16692634,16215205,1,2013-05-22T13:47:11.063
16733432,16606428,1,2013-05-24T11:00:19.637
16768328,16234486,1,2013-05-27T08:26:17.697
16819745,3020751,1,2013-05-29T17:01:07.283
16898559,9687579,1,2013-06-04T00:53:00.850
16564550,16589805,1,2013-06-04T02:27:49.797
16935264,8802969,1,2013-06-05T09:58:09.013
16935264,16955870,1,2013-06-06T09:47:18.747
16968002,15928290,1,2013-06-06T17:13:11.050
16564550,13691943,1,2013-06-10T06:02:00.593
17077944,3009380,1,2013-06-13T01:36:02.607
17083064,16727251,1,2013-06-13T09:17:43.247
17072421,5791035,1,2013-06-13T13:32:52.860
17015691,1341089,1,2013-06-14T00:54:51.607
17106389,1069621,1,2013-06-14T10:30:16.130
17151920,6251937,1,2013-06-17T16:03:59.180
17167055,6617976,1,2013-06-18T10:53:16.130
17231866,17147081,1,2013-06-21T09:33:15.673
17257781,5822529,1,2013-06-23T18:43:26.157
17072421,9036415,1,2013-06-24T03:49:31.337
17292472,233553,1,2013-06-25T09:19:34.590
17332824,3021064,1,2013-06-27T00:54:02.727
17351355,16957334,1,2013-06-27T19:56:06.110
17373135,6711295,1,2013-06-28T20:31:42.693
17373135,11392183,1,2013-06-28T20:40:11.750
17405161,191881,1,2013-07-01T13:08:03.523
17405161,5377585,1,2013-07-01T13:10:09.083
17581794,17582439,1,2013-07-10T23:05:54.470
17701219,17682100,1,2013-07-17T16:33:41.263
17718867,2225030,1,2013-07-18T09:56:28.827
17785855,2863940,1,2013-07-22T11:56:54.240
1708429,17724684,1,2013-07-22T15:40:49.210
17813020,6471574,1,2013-07-23T14:31:33.243
17861374,1865837,1,2013-07-25T14:58:48.547
17813020,17909532,1,2013-07-28T15:01:19.300
17935113,538134,1,2013-07-29T22:14:23.050
17935113,14980649,1,2013-07-29T22:22:59.543
17934024,805555,1,2013-07-30T09:59:07.793
16564550,17667935,1,2013-07-30T13:04:46.270
17922055,3470471,1,2013-07-31T06:27:09.327
17971226,17333,1,2013-07-31T13:33:09.683
18018216,11791157,1,2013-08-02T13:44:11.940
17934024,7624194,1,2013-08-02T14:44:57.810
18111113,17816837,1,2013-08-08T15:36:38.427
18184781,18143181,1,2013-08-12T11:31:44.720
18200931,3792663,1,2013-08-13T15:07:07.417
18267762,1563844,1,2013-08-16T07:21:13.477
18267762,3060601,1,2013-08-16T07:22:16.013
18267762,3060601,3,2013-08-16T09:42:35.463
15252213,11371479,1,2013-08-16T16:29:56.853
18459941,17334529,1,2013-08-27T08:10:24.657
18471711,9777143,1,2013-08-27T23:05:35.417
18566565,2331582,1,2013-09-02T06:15:23.063
2491730,390438,1,2013-09-05T14:21:15.853
18648728,17303266,1,2013-09-06T04:12:55.303
18653271,454908,1,2013-09-06T08:31:28.337
2491730,6167266,3,2013-09-06T13:57:00.953
18688821,11934960,1,2013-09-08T21:29:50.333
18732447,8528324,1,2013-09-11T09:32:10.527
18857612,13503079,1,2013-09-17T19:29:12.363
18903993,9475241,3,2013-09-19T20:15:26.097
18903993,434287,3,2013-09-19T20:15:26.097
18910035,9311478,1,2013-09-20T06:18:18.750
18910035,14464,1,2013-09-20T06:43:23.590
18949888,18424417,1,2013-09-23T02:48:56.173
18952098,5360628,1,2013-09-23T06:59:12.950
18472778,3058968,1,2013-09-26T08:11:02.737
19070574,3650862,1,2013-09-28T19:30:10.923
19070574,2075327,1,2013-09-28T19:33:38.457
19109380,453030,1,2013-10-01T14:54:02.943
18989880,18906988,1,2013-10-02T18:22:19.497
19165318,2830586,1,2013-10-03T17:59:14.137
19190197,2215672,1,2013-10-04T20:41:45.110
19214537,4166195,1,2013-10-06T22:10:47.353
19264414,19254400,1,2013-10-09T06:21:11.710
19396732,4333209,1,2013-10-16T08:49:10.127
19493020,17438354,1,2013-10-21T11:27:24.023
19509599,12709603,1,2013-10-22T06:24:45.993
10349784,19616238,1,2013-10-27T10:19:25.817
19636186,10667402,1,2013-10-28T13:47:13.630
19636186,9609394,1,2013-10-28T13:48:20.397
19693311,2969987,1,2013-10-31T02:09:41.133
19709272,19674575,1,2013-10-31T14:43:59.333
16958448,913626,1,2013-10-31T16:39:30.097
19746609,19692718,1,2013-11-03T01:01:52.810
19967198,15901030,1,2013-11-14T00:31:14.500
19970594,400346,1,2013-11-14T06:04:00.130
20003102,13171748,1,2013-11-15T14:20:56.130
19982502,8483402,1,2013-11-15T16:06:09.387
19214537,4166195,3,2013-11-18T01:33:05.167
20131416,2221167,1,2013-11-21T21:45:45.177
20158769,12345085,1,2013-11-23T05:09:31.320
20184450,8380006,1,2013-11-25T03:55:13.043
20131416,1458633,1,2013-11-28T01:36:04.120
20425728,1743532,1,2013-12-06T14:20:36.363
20496098,16935402,1,2013-12-10T13:49:36.053
20551439,11768364,1,2013-12-16T18:43:48.853
12654835,3555799,1,2013-12-19T16:37:13.897
672918,7630538,1,2013-12-20T13:03:50.763
20705203,579734,1,2013-12-20T16:15:19.727
20716180,1515357,1,2013-12-21T07:22:05.383
20716180,9782793,1,2013-12-21T07:25:02.177
20790979,20595713,1,2013-12-26T21:02:45.043
20742474,20780315,1,2013-12-27T15:03:08.993
20742474,20780890,1,2013-12-27T15:03:08.993
20742474,20781258,1,2013-12-27T15:03:08.993
20790979,19018582,1,2013-12-28T07:39:11.763
19109380,453030,3,2014-01-01T09:17:39.033
20894215,10693845,1,2014-01-03T00:05:21.383
20894215,10693845,3,2014-01-03T00:08:11.037
21033858,17776940,1,2014-01-10T02:20:51.720
21017832,13046319,1,2014-01-10T16:16:34.243
21079259,14573654,1,2014-01-12T19:58:57.270
21115861,13015419,1,2014-01-14T14:37:26.533
21115861,12374634,1,2014-01-14T14:37:26.533
21118400,533905,1,2014-01-14T16:22:55.780
21118400,533905,3,2014-01-14T19:09:45.010
21153890,4772425,3,2014-01-16T05:22:21.160
21153890,4216745,3,2014-01-16T05:22:21.160
21170992,9556794,1,2014-01-16T19:27:24.680
21177425,3015059,1,2014-01-18T09:49:37.950
21256816,16825243,1,2014-01-21T11:35:48.480
21259161,6141581,1,2014-01-21T13:12:15.223
21029590,21174628,1,2014-01-22T03:20:26.477
21364464,16286384,1,2014-01-26T14:53:36.697
21381462,4261133,1,2014-01-27T13:08:05.400
21416780,567068,1,2014-01-28T21:08:49.757
21428317,127116,1,2014-01-29T12:29:17.210
21536657,4533063,1,2014-02-03T20:19:43.563
21571481,489258,1,2014-02-05T08:32:51.393
21573885,7123984,1,2014-02-05T10:15:54.830
21583935,10349302,1,2014-02-05T17:23:24.170
21597278,1254995,1,2014-02-07T12:17:23.260
21641260,11553461,1,2014-02-08T13:02:03.953
21641260,16880677,1,2014-02-08T13:02:03.953
21652575,21652177,1,2014-02-08T22:42:11.000
21782170,5600621,1,2014-02-14T14:42:51.103
21828776,2075304,1,2014-02-17T13:09:19.360
21828776,11128130,1,2014-02-17T17:53:28.873
21641260,7423537,1,2014-02-18T19:57:45.047
21641260,16775877,1,2014-02-18T19:57:45.047
21895813,21896133,1,2014-02-20T01:18:31.533
21903734,21861327,1,2014-02-20T09:57:36.677
21926642,21923917,1,2014-02-21T18:53:16.517
21968491,21971685,1,2014-02-23T17:43:10.447
22074917,1118592,1,2014-02-27T16:47:15.463
17308729,9363389,1,2014-03-03T17:17:56.350
22128062,10597021,1,2014-03-04T13:13:02.187
